status,city,state,country,classification,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,report_date,code_info,more_code_info,termination_date
Ongoing,San Luis,AZ,United States,Class I,Food,93920,HandNatural,874 S Main St,,85349-7500,Voluntary: Firm initiated,E-Mail,Firm is  100% internet sales. Distribution is unknown at this time.,F-1170-2024,"H&NATURAL 2 PACK! BRAZIL SEED 60 PIECES, PURE NATURAL SEMILLA DE BRASIL FOR 60 DAYS, 5 GRAMS PER BOX, 2 BLACK BOXES.",,Product recalled due to the presence of yellow oleander and its components in the product.,2024-02-09,2024-04-16,2024-04-24,No Lot code on label. Expiration date listed as 05/24 and 03/24.,,
Ongoing,New Century,KS,United States,Class I,Food,94565,Danisco USA Inc.,4 New Century Pkwy,N/A,66031-1144,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US: AZ, CA, CO, FL, IA, ID, IL, IN, KS, KY, MI, MN, MO, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI; Canada, and Mexico",F-1333-2024,"Grindsted Sweetlife CINN. Roll BAS Stabilizer & Emulsifier System, 22.68 kg/ 50 lb bag",7257.60 kg,Potential Salmonella Contamination,2024-05-03,2024-06-06,2024-06-12,Lot number: 1204607256; 1204607257; 1204607258; 1204607259; 1204607260; 1204607261; 1204607262; 1204607264,,
Ongoing,Cleveland,OH,United States,Class II,Food,93817,Greco Sidari,3820 Lakeside Ave E,,44114-3848,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","OH, NY & PA",F-0848-2024,GRANDE     1.5OZ FRESH BOCCONCINI MOZZ 1/3#         SUPC/ITEM # 19132P,1375 cases total,The food was not held at an appropriate temperature.  The holding temperature could affect spoilage and potentially support pathogen growth.,2024-01-11,2024-02-05,2024-02-14,"All Lot Codes Distributed between November 26, 2023 and January 5, 2024",,
Ongoing,Coral Gables,FL,United States,Class II,Food,94530,"CN Frozen Foods, INC",2330 Ponce De Leon Blvd,N/A,33134-5417,Voluntary: Firm initiated,E-Mail,Product was only sold in Texas.,F-1243-2024,Sysco Classic Riced Cauliflower packed in a 4lb plastic bag (6 units of 4 lb. per carton box).,"3,240 cases",Riced Cauliflower tested positive for Listeria monocytogenes.,2024-04-27,2024-05-15,2024-05-22,Manufacture #: 30.05.2023  Best Buy Date: 05/2025 Reorder #: 5087729,,
Ongoing,Fort Myers,FL,United States,Class I,Food,94308,Belgian Yummies,7970 Summerlin Lakes Dr Ste 101,N/A,33907-1855,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",The products were only distributed in the state of Florida.,F-1230-2024,Vanilla Ice Cream Cookie Sandwich. Sandwiches packaged in a gold or clear bags. 50 sandwiches per case and weighting 4oz each sandwich.,1208.,"Undeclared Allergen: milk, eggs, wheat, peanuts, and tree nuts.",2024-03-20,2024-05-09,2024-05-15,No lot numbers provided; Expiration date is 6 months from production date.,,
Ongoing,Sacramento,CA,United States,Class II,Food,94390,Sacramento Cookie Factory,3428 Auburn Blvd,N/A,95821-1904,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","U.S. Distribution to the following states: CA, AK, IA, NY, TX, FL, WA, NJ, WA, VA, GA, TN, AZ, AL, NC. For foreign or government distribution.",F-1218-2024,California Wine Wafer - Mocha Chocolate and Original Wine Wafer - Mocha Chocolate [Two sizes: retail package of 8 wafers (7 oz) and retail gift package of 2 wafers (2 oz)],"Retail package of 8 wafers: 1,169 units; Retail Gift of 2 wafers: 355 units",Undeclared allergen (milk),2024-04-17,2024-05-06,2024-05-15,All best by dates up to 4/2/2025 (shelf life is 1 year from manufacture date). Firm does not apply lot codes.,,
Completed,Coventry,CT,United States,Class II,Food,94334,Charles Boggini Company Llc,733 Bread And Milk St,N/A,06238-1014,Voluntary: Firm initiated,E-Mail,"CT, PA, NY, NJ, AZ, MI, IL, NV, CA",F-1284-2024,Charles Boggini Pink Lemonde; 1 or 5 U.S. Gallons,28 gallons,Products contain undeclared FD&C Red No. 40,2024-03-29,2024-06-03,2024-06-12,Lot/Unit Numnber: 1-017,,
Terminated,Cullen,VA,United States,Class II,Food,93957,"Country Corner Dairy, LLC",3005 County Line Rd,N/A,23934-2041,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","The recall product was distributed to the following states : MD, VA",F-0913-2024,"Fresh Local , Country Corner Dairy,  YELLOW COLBY CHEESE, INGREDIENTS: Pasteurized Milk, Salt , Rennet, Calcium Chloride,  Cheese Culture, Contains Milk. Product comes in various sizes, 6 oz. up to 42 lbs. and is in vacuum sealed plastic packaging.",6605 lbs. total,Product was made with a lack of proper pasteurization.,2024-02-01,2024-02-22,2024-02-28,100923,,2024-03-25
Ongoing,Cleveland,OH,United States,Class II,Food,93817,Greco Sidari,3820 Lakeside Ave E,,44114-3848,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","OH, NY & PA",F-0828-2024,SAPUTO STELLA ASGO HLF MLD 11LB  SUPC/ITEM # 19009,1375 cases total,The food was not held at an appropriate temperature.  The holding temperature could affect spoilage and potentially support pathogen growth.,2024-01-11,2024-02-05,2024-02-14,"All Lot Codes Distributed between November 26, 2023 and January 5, 2024",,
Terminated,White Plains,NY,United States,Class II,Food,93923,DANONE US LLC,1 Maple Ave,N/A,10605-1476,Voluntary: Firm initiated,E-Mail,Georgia,F-0871-2024,Dannon Plain Yogurt packaged in 32oz plastic carton with lid - 6 cartons per case,15 cases (90 units),Potential contamination with sanitizer,2024-02-01,2024-02-13,2024-02-21,Time Stamp - 13:40-13:55 Expiration 03/13/24,,2024-03-11
