company_announcement_date,fda_publish_date,product_type,reason_for_announcement,company_name,brand_name,product_description,recall_status,best_if_used_by,package_description,upc,distribution,consumer_contact_number,consumer_contact_email,no_adverse_reactions_reported,recall_initiation_reason,investigation_findings
"March 12, 2024","March 13, 2024",Food & Beverages,Undeclared milk and coconut allergens,"John B Sanfilippo & Son, Inc.",Great Value,Honey Roasted Cashews,,Jul 08 2025 GH2,8.25 oz plastic can with a blue wrap around label,078742133348,"Select Walmart stores in AL, AR, CA, CO, CT, FL, GA, HI, IL, IN, KS, KY, LA, MA, MO, MS, NC, NE, NJ, NM, NV, NY, OH, OK, PA, SC, TN, TX, VT, WV and via Walmart.com",1-800-874-8734,info@jbssinc.com,No adverse reactions have been reported to date.,A consumer report of finding coconut cashews within a container labeled as honey roasted cashews.,A limited number of incorrect honey roasted cashew labels were applied to the plastic cans of coconut cashews during the manufacturing process.
"March 12, 2024","March 12, 2024",Drugs,Potential Presence of Silicone Particulate Matter,"Endo International, Par Pharmaceutical",Par Pharmaceutical,Treprostinil 20mg/20mL Injection,This recall is being conducted with the knowledge of the U.S. Food and Drug Administration.,04/2024,"20mL multidose vials as sterile solutions in water for injection, individually packaged in cartons",NDC #42023-206-01,"Nationwide to wholesalers and hospitals from June 16, 2022, through October 17, 2022",1-800-828-9393,,"To date, Par has not received any reports of adverse events related to this recall.",The product is being recalled due to the potential for the presence of silicone particulates in the product solution.,
"March 08, 2024","March 11, 2024",Food & Beverages,Undeclared Peanut Allergen,"Wesco, Inc.",Wesco Fresh,Mint No Bake Cookies,,,Clear 9 oz plastic cups,750308040474,Wesco convenience stores throughout the lower peninsula of Michigan,231-719-4385,recall@wescoinc.com,No illnesses have been reported to date.,Wesco Mint No Bake Cookie Bites containing peanut butter were distributed in packaging that did not reveal the presence of peanuts.,The problem was caused by incorrect product formulation within the manufacturing facility’s new software system.
"March 06, 2024","March 08, 2024",Food & Beverages,Potential or Undeclared Allergen - Soy,"KALO Foods, LLC",KALO,Single Slices of Carrot Cake & Chocolate Cake,This recall is being made with the knowledge of the Food and Drug Administration.,,Clear plastic clam shells,8 53407 00418 4,Retail stores located in North Carolina and Virginia,Contact Michael Cusato during our hours of operation Monday – Saturday 6:00am – 4:00 pm EST,,No illnesses have been reported to date.,The firm was notified by a customer that packages labeled as Carrot Cake contain the ingredient panel for Chocolate Cake and vice versa.,Packages labeled Single Slice Gluten Free Carrot Cake have the ingredient panel stating Chocolate Cake and packages labeled as Chocolate Cake contain slices of Carrot Cake.
"March 06, 2024","March 08, 2024",Food & Beverages,Potential Metal Contaminant - Lead,La Fiesta Food Products,La Fiesta,Ground Cinnamon,,,.87oz,032327000449,"California, Arizona, Washington, and Texas through distributors to retail stores from April 20, 2023 through May 3, 2023",408-326-0487,qualityassurance@lffp.com,There have been no reports of illnesses to date.,The FDA collected samples of the product and lab analysis revealed elevated concentrations of lead.,
"March 06, 2024","March 07, 2024",Food & Beverages,Potential Metal Contaminant - Lead,Raja Foods LLC,SWAD,Cinnamon Powder,,Batch KX21223 Best Before July 2026 and Batch KX08123 Best Before March 2026,Clear plastic 3.5 OZ bags,0-51179-34280-4,"Retail grocery stores in the Midwest, Northeast, and Southeast regions of the United States",847.972.2865,,No illnesses reported to date.,Routine sampling program by the FDA.,
"March 07, 2024","March 07, 2024",Food & Beverages,Potential or Undeclared Allergen - Wheat,Stonewall Kitchen,Stonewall Kitchen,Gluten Free Cinnamon Sugar Doughnut Mix,This voluntary recall is being conducted with the knowledge of and in cooperation with the US Food and Drug Administration.,03-09-2025 & 03-10-2025,Rectangular cardboard box,711381313329,"Nationwide to consumers through Stonewall Kitchen’s retail stores, stonewallkitchen.com and through third-party wholesale customers such as specialty grocers, department stores, or gourmet food shops.",800-826-1735,guestservices@stonewallkitchen.com,One illness has been reported to date.,The recall was initiated after the company received a consumer report of a reaction.,Subsequent investigation discovered that product containing wheat was distributed in packaging that did not reveal the presence of wheat due to a packaging process error.
"March 06, 2024","March 06, 2024",Food & Beverages,Potential Metal Contaminant - Lead,El Chilar Rodriguez LLC,El Chilar,Ground Cinnamon “Canela Molida”,,,1.25 oz bag,,Brick-and-mortar retail stores within the state of Maryland,407-880-6007,,No illnesses have been reported to date.,The Maryland Department of Health collected product samples and analysis came back with elevated concentrations of lead.,The problem might be caused by potentially adulterated raw material from the supplier.
"February 29, 2024","March 06, 2024",Food & Beverages,Potential Foodborne Illness - Clostridium botulinum,AJI MORI Sauce Corp. DBA Susi Koo,AJI MORI,CHILLIMAMI SAUCE,,"October 1, 2024","Clear plastic bottle with nozzle and black product label, 250 ml Net Wt.",,"8474 w 3rd st, LA, CA 90048 and online at www.ajimorisauce.com",,sales@ajimorisauce.com,No illness have been reported to date for these products.,Product was manufactured and distributed without the California Department of Public Health (CDPH) Cannery Program oversight.,
"March 06, 2024","March 06, 2024",Food & Beverages,Elevated Lead Levels,"Colonna Brothers, Inc.",Colonna,Marcum Ground Cinnamon & Supreme Tradition Ground Cinnamon,Colonna Brothers has voluntarily ceased the production and distribution of all Cinnamon.,"1.5oz Marcum Ground Cinnamon Best By:10/16/25 10DB, 1.5oz Marcum Ground Cinnamon Best By: 04/06/25 0400B1, 2.25oz Supreme Tradition Ground Cinnamon 09/29/25 09E8, 2.25oz Supreme Tradition Ground Cinnamon 04/17/25 04E11, 2.25oz Supreme Tradition Ground Cinnamon 12/19/25 12C2, 2.25oz Supreme Tradition Ground Cinnamon 04/12/25 04ECB12, 2.25oz Supreme Tradition Ground Cinnamon 08/24/25 08A, 2.25oz Supreme Tradition Ground Cinnamon 04/21/25 04E5, 2.25oz Supreme Tradition Ground Cinnamon 09/22/2025 09E20",Clear plastic jar labeled with either 'Marcum Cinnamon Ground 1.5oz' or 'Supreme Tradition Ground Cinnamon 2.25oz',Not provided,Nationwide through retail stores and mail order,201-864-1115,Not provided,No illnesses have been reported to date in connection with these products.,"The recall was the result of a targeted sampling program of discount brands by the FDA, following heightened sensitivity around Cinnamon.",The FDA is stating that the lot codes above contain elevated levels of lead that the FDA deems a potential health risk.
